"Time","Share a Coke 2025"
"2024-12-01",0
"2025-01-01",0
"2025-02-01",0
"2025-03-01",4
"2025-04-01",28
"2025-05-01",43
"2025-06-01",19
"2025-07-01",53
"2025-08-01",98
"2025-09-01",87
"2025-10-01",68
"2025-11-01",58
"2025-12-01",60
"2026-01-01",46
"2026-02-01",78
"2026-03-01",93
"2026-04-01",84
"2026-05-01",100
"2026-06-01",30
