"Time","STOCKHOLM 2025 ikea"
"2024-12-01",1
"2025-01-01",1
"2025-02-01",1
"2025-03-01",9
"2025-04-01",100
"2025-05-01",38
"2025-06-01",29
"2025-07-01",32
"2025-08-01",60
"2025-09-01",54
"2025-10-01",46
"2025-11-01",44
"2025-12-01",33
"2026-01-01",28
"2026-02-01",25
"2026-03-01",33
"2026-04-01",65
"2026-05-01",60
"2026-06-01",24
